grid_id,road_length
18_34,3821.325182131515
18_35,4568.492599281725
18_36,3869.952927877921
18_37,3610.540915943654
18_38,2231.076157991526
18_39,3442.728578549534
18_40,4791.797173691851
18_41,2194.3957128659454
18_42,3076.3688464042843
18_43,2378.3187650377363
18_44,3200.7341973565376
18_45,3301.002533876212
18_46,4461.902175283087
18_47,2339.29419208025
18_48,4060.2456773009653
18_49,3298.76356592448
18_50,3806.6232551790345
18_51,3150.4261462356812
18_52,3911.1471974161573
18_53,3078.1017235369404
18_54,1389.2100428191911
18_55,3069.8431445240426
18_56,4315.665336314203
18_57,3977.9807145475315
18_58,3433.240758204949
18_59,1679.6097355091485
18_60,281.74380550903334
19_20,845.5740979241157
19_21,3967.9139038772014
19_22,3944.470333849081
19_23,3318.8925511215366
19_24,2809.126579046556
19_25,1589.232300833497
19_26,2045.4273316145793
19_27,3299.1917380061855
19_28,4185.720379712279
19_29,3403.4479725442466
19_30,1831.2202933498183
19_31,3289.363795594828
19_32,3545.4871821609145
19_33,1960.4376984623111
19_34,1945.6978979792495
19_35,3412.194415052797
19_36,4398.478650721064
19_37,3433.823856924627
19_38,1612.1856120134603
19_39,2125.7291463017195
19_40,3499.2225525805466
19_41,3320.7565093323396
19_42,4132.57586932053
19_43,4147.391915456296
19_44,1960.241997672863
19_45,2719.2112546572585
19_46,3549.3183603859857
19_47,2946.9134973168602
19_48,3366.26555157384
19_49,3786.2262545649137
19_50,3801.531960118593
19_51,3724.4576995931134
19_52,3328.43265646269
19_53,1296.7041425215775
19_54,1436.4374099693396
19_55,2002.5880390925845
19_56,4659.278781804752
19_57,2057.158960472445
19_58,3815.004634114553
19_59,4128.628648991149
19_60,3682.4404591724488
19_61,1002.5608592054733
20_21,3390.672877704536
20_22,4376.634773336562
20_23,4232.600911793371
20_24,2800.383433087219
20_25,2399.7471215869923
20_26,3233.213873120212
20_27,2683.2134366170653
20_28,2355.8694035730896
20_29,2318.039321918242
20_30,3429.4138984611404
20_31,3346.7773133653936
20_32,2284.8818004358864
20_33,673.6294707088555
20_34,1799.828927490092
20_35,3952.546823589466
20_36,3521.9998333856424
20_37,4503.979583193133
20_38,4098.306983388333
20_39,4220.891402058545
20_40,3403.260591960552
20_41,4042.8573898933582
20_42,3996.3754758319074
20_43,4932.842343385476
20_44,2820.930753374034
20_45,3473.5073483266347
20_46,3351.1029881405952
20_47,3752.661435630073
20_48,2125.4391654930414
20_49,3172.288212516145
20_50,2782.629470981628
20_51,4015.4813278212155
20_52,3412.7076810350136
20_53,4099.415048436158
20_54,4531.916451195349
20_55,864.2169669422617
20_56,2917.95411300631
20_57,3878.9404470432273
20_58,3573.2587183318155
20_59,3928.7985787212856
20_60,3927.1130823625176
20_61,1810.4153817021565
21_21,2403.3059633495013
21_22,4324.799358642849
21_23,4300.796671429187
21_24,2276.665505131944
21_25,2722.354833942333
21_26,3265.440485157243
21_27,3553.852985207808
21_28,3670.493041557693
21_29,4013.207517302289
21_30,2339.0561636144075
21_31,2265.6056531394456
21_32,1290.2811314421974
21_33,967.9593804448064
21_34,3110.829964810913
21_35,2744.1067889846827
