grid_id,connectivity
14_29,1.6521739130434783
14_30,1.7142857142857142
14_31,1.5333333333333334
14_32,1.5
14_33,1.5333333333333334
14_34,1.8125
14_35,1.3513513513513513
14_36,1.8333333333333333
14_37,1.608695652173913
14_38,1.7096774193548387
14_39,1.7692307692307692
14_40,1.725
14_41,1.4857142857142858
14_42,1.5
14_43,1.457142857142857
14_44,1.4615384615384615
14_45,1.6538461538461537
14_46,1.3157894736842106
14_47,1.5294117647058822
14_48,1.5555555555555556
14_49,1.5365853658536586
14_50,1.42
14_51,1.75
14_52,1.5185185185185186
14_53,1.64
14_54,1.6923076923076923
14_55,2.142857142857143
14_56,1.896551724137931
14_57,1.78125
14_58,2.076923076923077
14_59,1.7037037037037037
14_60,1.6818181818181819
14_61,1.8181818181818181
14_62,1.75
14_63,0.0
15_23,1.25
15_24,1.7058823529411764
15_25,1.5263157894736843
15_26,1.394736842105263
15_27,1.3793103448275863
15_28,1.736842105263158
15_29,1.5625
15_30,1.8
15_31,1.7272727272727273
15_32,2.0
15_33,1.4444444444444444
15_34,1.78125
15_35,1.8409090909090908
15_36,1.6666666666666667
15_37,1.6451612903225807
15_38,1.7894736842105263
15_39,2.0
15_40,1.5454545454545454
15_41,1.4705882352941178
15_42,1.457142857142857
15_43,1.5
15_44,1.4705882352941178
15_45,1.8235294117647058
15_46,1.15625
15_47,1.5454545454545454
15_48,1.7
15_49,1.5
15_50,1.6785714285714286
15_51,1.72
15_52,1.54
15_53,1.6
15_54,2.2
15_55,1.8205128205128205
15_56,1.8928571428571428
15_57,1.434782608695652
15_58,1.7777777777777777
15_59,1.75
15_60,1.9047619047619047
15_61,1.7272727272727273
15_62,3.0
16_20,1.1428571428571428
16_21,2.0
16_23,1.6818181818181819
16_24,1.4705882352941178
16_25,1.5128205128205128
16_26,1.3488372093023255
16_27,1.7692307692307692
16_28,1.457142857142857
16_29,1.5
16_30,1.4166666666666667
16_31,1.5675675675675675
16_32,1.5609756097560976
16_33,1.7058823529411764
16_34,2.0
16_35,1.6363636363636365
16_36,1.7560975609756098
16_37,1.6666666666666667
16_38,2.0
16_39,1.7428571428571429
16_40,1.9333333333333333
16_41,1.6666666666666667
16_42,1.5555555555555556
16_43,1.446808510638298
16_44,1.588235294117647
16_45,1.5
16_46,1.3636363636363635
16_47,1.565217391304348
