grid_id,Agricultural areas,Artificial surfaces,Forest and semi natural areas,Water bodies
102_20,0.0,100.0,0.0,0.0
102_21,13.603941628756418,86.39605837124358,0.0,0.0
102_22,68.19342506436935,31.80657493563064,0.0,0.0
102_23,100.0,0.0,0.0,0.0
102_7,100.0,0.0,0.0,0.0
102_8,85.65825350096826,14.341746499031736,0.0,0.0
102_9,4.393836251719041,95.60616374828095,0.0,0.0
103_10,3.270724497291691,96.7292755027083,0.0,0.0
103_11,0.0,100.0,0.0,0.0
103_12,0.0,100.0,0.0,0.0
103_13,38.345406407655844,61.654593592344156,0.0,0.0
103_14,59.81505425759146,40.18494574240854,0.0,0.0
103_15,25.227278947999004,74.772721052001,0.0,0.0
103_16,0.0,100.0,0.0,0.0
103_17,0.0,100.0,0.0,0.0
103_18,0.0,100.0,0.0,0.0
103_19,0.0,100.0,0.0,0.0
103_20,6.335820119788198,93.6641798802118,0.0,0.0
103_21,87.54052377236403,12.459476227635989,0.0,0.0
103_22,100.0,0.0,0.0,0.0
103_23,100.0,0.0,0.0,0.0
103_8,96.63454532202417,0.0,3.3654546779758236,0.0
103_9,85.54200659034166,14.457993409658345,0.0,0.0
104_10,0.0,95.79810439554247,4.20189560445755,0.0
104_11,0.0,100.0,0.0,0.0
104_12,0.0,100.0,0.0,0.0
104_13,3.33178205175418,96.66821794824581,0.0,0.0
104_14,74.01329525724643,25.98670474275358,0.0,0.0
104_15,59.38715489946803,40.612845100531956,0.0,0.0
104_16,24.19681176629529,75.80318823370472,0.0,0.0
104_17,0.0,100.0,0.0,0.0
104_18,0.0,100.0,0.0,0.0
104_19,0.0,100.0,0.0,0.0
104_20,22.942453771628838,77.05754622837117,0.0,0.0
104_22,99.99999999999999,0.0,0.0,0.0
104_9,45.38848657635414,18.22545279369584,36.38606062995003,0.0
105_10,44.38968278708923,20.780173771703947,34.83014344120683,0.0
105_11,10.452629223244713,89.54737077675529,0.0,0.0
105_12,57.93304648644422,42.06695351355579,0.0,0.0
105_13,69.94882275086816,30.05117724913185,0.0,0.0
105_14,13.52758586677711,86.47241413322288,0.0,0.0
105_16,99.83161223715717,0.1683877628428214,0.0,0.0
105_17,81.18460794116888,18.815392058831126,0.0,0.0
105_18,4.950278809986168,95.04972119001383,0.0,0.0
105_19,0.0,100.0,0.0,0.0
105_20,1.6489814379443066,98.35101856205569,0.0,0.0
106_18,79.4152378530478,20.5847621469522,0.0,0.0
106_19,34.546588961766325,65.45341103823368,0.0,0.0
10_18,64.53913921374424,35.46086078625577,0.0,0.0
10_19,50.38940531513617,49.61059468486383,0.0,0.0
10_20,14.088262477355473,85.91173752264453,0.0,0.0
10_21,0.0,100.0,0.0,0.0
10_22,0.0,100.0,0.0,0.0
10_23,0.0,100.0,0.0,0.0
10_24,0.0,100.00000000000001,0.0,0.0
10_25,0.0,100.0,0.0,0.0
10_26,0.0,100.0,0.0,0.0
10_27,0.0,100.0,0.0,0.0
10_28,0.0,100.0,0.0,0.0
10_29,0.0,100.0,0.0,0.0
10_30,0.0,100.0,0.0,0.0
10_31,0.0,100.0,0.0,0.0
10_32,0.0,100.0,0.0,0.0
10_33,0.0,100.0,0.0,0.0
10_34,0.0,100.0,0.0,0.0
10_35,0.0,100.0,0.0,0.0
10_36,0.0,100.0,0.0,0.0
10_37,0.0,100.0,0.0,0.0
10_38,0.0,100.0,0.0,0.0
10_39,0.0,100.0,0.0,0.0
10_40,0.0,99.99999999999999,0.0,0.0
10_41,0.0,100.0,0.0,0.0
10_42,0.0,99.99999999999999,0.0,0.0
10_43,0.0,100.0,0.0,0.0
10_44,0.0,100.0,0.0,0.0
10_45,24.87495870045446,75.12504129954553,0.0,0.0
10_46,71.64760862463957,28.352391375360437,0.0,0.0
10_47,82.1312046650999,17.8687953349001,0.0,0.0
10_48,0.0,100.0,0.0,0.0
10_49,0.0,99.99999999999999,0.0,0.0
10_50,0.0,100.0,0.0,0.0
10_51,0.0,100.0,0.0,0.0
10_52,0.0,100.0,0.0,0.0
10_53,0.0,100.00000000000001,0.0,0.0
10_54,0.0,100.0,0.0,0.0
10_55,0.0,100.0,0.0,0.0
10_56,0.0,100.00000000000001,0.0,0.0
10_57,0.0,100.0,0.0,0.0
10_58,0.0,100.0,0.0,0.0
10_59,0.0,99.99999999999999,0.0,0.0
10_60,0.0,100.0,0.0,0.0
10_61,0.0,100.0,0.0,0.0
10_62,0.0,99.99999999999999,0.0,0.0
10_63,0.0,100.0,0.0,0.0
10_64,3.731195450549733,96.26880454945027,0.0,0.0
11_19,100.0,0.0,0.0,0.0
11_20,54.583169680082364,45.416830319917636,0.0,0.0
11_21,0.0,100.0,0.0,0.0
11_22,0.0,99.99999999999999,0.0,0.0
11_23,0.0,100.0,0.0,0.0
11_24,0.0,100.0,0.0,0.0
11_25,0.0,100.0,0.0,0.0
11_26,0.0,100.0,0.0,0.0
11_27,0.0,100.0,0.0,0.0
11_28,0.0,100.0,0.0,0.0
11_29,0.0,100.0,0.0,0.0
11_30,0.0,100.0,0.0,0.0
11_31,0.0,99.99999999999999,0.0,0.0
11_32,0.0,100.0,0.0,0.0
11_33,0.0,100.00000000000001,0.0,0.0
11_34,0.0,100.0,0.0,0.0
11_35,0.0,100.0,0.0,0.0
11_36,0.0,100.0,0.0,0.0
11_37,0.0,100.0,0.0,0.0
11_38,0.0,100.0,0.0,0.0
11_39,0.0,100.0,0.0,0.0
11_40,0.0,99.99999999999999,0.0,0.0
11_41,0.0,100.0,0.0,0.0
11_42,0.0,100.00000000000001,0.0,0.0
11_43,0.0,100.0,0.0,0.0
11_44,0.0,99.99999999999999,0.0,0.0
11_45,0.0,100.0,0.0,0.0
11_46,12.017471378573122,87.9825286214269,0.0,0.0
11_47,75.04196688024226,24.958033119757747,0.0,0.0
11_48,0.0,100.0,0.0,0.0
11_49,0.0,100.0,0.0,0.0
11_50,0.0,100.0,0.0,0.0
11_51,0.0,99.99999999999999,0.0,0.0
11_52,0.0,99.99999999999999,0.0,0.0
11_53,0.0,100.0,0.0,0.0
11_54,0.0,100.0,0.0,0.0
11_55,0.0,100.0,0.0,0.0
11_56,0.0,100.0,0.0,0.0
11_57,0.0,100.0,0.0,0.0
11_58,0.0,100.0,0.0,0.0
11_59,0.0,100.0,0.0,0.0
11_60,0.0,100.00000000000003,0.0,0.0
11_61,0.0,100.0,0.0,0.0
11_62,0.0,100.0,0.0,0.0
11_63,0.0,100.0,0.0,0.0
11_64,18.990782671353475,81.00921732864651,0.0,0.0
11_65,78.84836201063482,21.15163798936518,0.0,0.0
12_19,100.0,0.0,0.0,0.0
12_20,86.73015498755404,13.269845012445971,0.0,0.0
12_21,1.1134143945290367,98.88658560547097,0.0,0.0
12_22,0.0,100.0,0.0,0.0
12_23,0.0,100.00000000000001,0.0,0.0
12_24,0.0,100.0,0.0,0.0
12_25,0.0,100.00000000000001,0.0,0.0
12_26,0.0,100.0,0.0,0.0
12_27,0.0,100.0,0.0,0.0
12_28,0.0,100.0,0.0,0.0
12_29,0.0,100.00000000000001,0.0,0.0
12_30,0.0,100.0,0.0,0.0
12_31,0.0,100.0,0.0,0.0
12_32,0.0,100.0,0.0,0.0
12_33,0.0,100.00000000000001,0.0,0.0
12_34,0.0,100.00000000000001,0.0,0.0
12_35,0.0,100.0,0.0,0.0
12_36,0.0,100.0,0.0,0.0
12_37,0.0,100.0,0.0,0.0
12_38,0.0,100.0,0.0,0.0
12_39,0.0,100.0,0.0,0.0
12_40,0.0,100.0,0.0,0.0
12_41,0.0,100.0,0.0,0.0
12_42,0.0,100.0,0.0,0.0
12_43,0.0,99.99999999999999,0.0,0.0
12_44,0.0,100.0,0.0,0.0
12_45,0.0,100.0,0.0,0.0
12_46,0.0,100.0,0.0,0.0
12_47,0.0,100.0,0.0,0.0
12_48,0.0,100.0,0.0,0.0
12_49,0.0,100.0,0.0,0.0
12_50,0.0,100.0,0.0,0.0
12_51,0.0,100.0,0.0,0.0
12_52,0.0,100.00000000000001,0.0,0.0
12_53,0.0,100.0,0.0,0.0
12_54,0.0,100.0,0.0,0.0
12_55,0.0,99.99999999999999,0.0,0.0
12_56,0.0,100.0,0.0,0.0
12_57,0.0,99.99999999999999,0.0,0.0
12_58,0.0,100.0,0.0,0.0
12_59,0.0,100.0,0.0,0.0
12_60,0.0,100.0,0.0,0.0
12_61,2.4616802625633327,97.53831973743668,0.0,0.0
12_62,0.0,100.0,0.0,0.0
12_63,0.0,100.0,0.0,0.0
12_64,25.131675885951022,74.86832411404897,0.0,0.0
12_65,72.24131144596558,27.75868855403442,0.0,0.0
13_20,99.99999999999999,0.0,0.0,0.0
13_21,62.954292396989,37.045707603010996,0.0,0.0
13_22,2.787368939959612,97.2126310600404,0.0,0.0
13_23,1.5679996702160834,98.4320003297839,0.0,0.0
13_24,0.0,100.0,0.0,0.0
13_25,0.0,99.99999999999999,0.0,0.0
13_26,0.0,100.0,0.0,0.0
13_27,0.0,100.0,0.0,0.0
13_28,0.0,99.99999999999999,0.0,0.0
13_29,0.0,99.99999999999997,0.0,0.0
13_30,0.0,100.00000000000001,0.0,0.0
13_31,0.0,100.0,0.0,0.0
13_32,0.0,100.0,0.0,0.0
13_33,0.0,100.0,0.0,0.0
13_34,0.0,100.0,0.0,0.0
13_35,0.0,100.0,0.0,0.0
13_36,0.0,100.00000000000001,0.0,0.0
13_37,0.0,99.99999999999999,0.0,0.0
13_38,0.0,100.0,0.0,0.0
13_39,0.0,100.0,0.0,0.0
13_40,0.0,100.0,0.0,0.0
13_41,0.0,100.0,0.0,0.0
13_42,0.0,100.0,0.0,0.0
13_43,0.0,100.0,0.0,0.0
13_44,0.0,100.0,0.0,0.0
