grid_id,Bare / sparse vegetation,Closed forest,Cropland,Herbaceous vegetation,Herbaceous wetland,Open forest,Permanent water bodies,Shrubland,Urban / built up
102_15,0.0,0.0,5.852312787006966,5.9569010765391575,0.0,0.40751759498184187,0.0,0.0,87.78330521236091
102_16,0.0,0.0,9.38325417446129,1.8252851456135861,0.0,15.558823548884256,0.0,0.0,73.2330193729427
102_17,0.0,7.7739857762210605,41.892521851669144,1.1528320385469233,0.0,3.1235057856044293,0.0,0.0,46.056652804457464
102_18,0.0,3.838095425471992,2.617855433382774,2.9775882343767037,0.0,19.84088481061296,0.0,0.0,70.72551502052076
102_19,0.0,0.0,17.86373456137326,0.0,0.0,35.11864279795179,0.0,0.0,47.017782779188074
102_20,0.0,0.0,0.0,0.0,0.0,6.781524229491087,0.0,0.0,93.21847577050892
102_21,0.0,0.0,5.246811637960712,3.863246280277238,0.0,21.72329657119539,0.0,0.0,69.16661018998116
102_22,0.0,0.0,54.94060473774957,5.952918425779119,0.0,15.328833035037729,0.0,0.0,23.77743967113058
102_23,0.0,0.0,55.21823211308366,8.693075707690372,0.0,31.85416492442965,0.0,0.0,4.234542850442978
102_7,0.0,1.2994324025750454,73.22979775656808,10.565823045569955,0.0,2.98096910432752,0.0,0.0,11.923748209506986
102_8,0.0,16.593525017789446,60.28136498645698,0.507112806332424,0.0,0.0,0.0,0.0,22.61799928244074
102_9,0.0,0.0,1.8747127593711117,6.612823322962371,0.0,1.3305114520826082,0.0,0.0,90.18195198207272
103_10,0.0,2.408134781684973,0.0,0.0,0.0,1.3481796228803653,0.0,0.0,96.24349469745977
103_11,0.0,0.0,0.0,5.95962540458855,0.0,0.0,0.0,0.0,94.04037459541145
103_12,0.0,0.0,0.0,17.407136545276842,0.0,5.127604961087847,0.0,0.0,77.46507474694452
103_13,0.0,0.0,0.0,0.0,2.435689960494281,37.05386913309199,0.0,0.0,60.51044942755145
103_14,0.0,0.0,25.241381940330797,0.9973106587854356,0.0,23.27505004221184,0.0,0.0,50.4863570409897
103_15,0.0,0.0,5.310330866299463,1.0625387422892425,0.0,11.385636100357154,0.0,0.0,82.24145429197003
103_16,0.0,0.0,4.702492670554862,0.0,0.0,0.0,0.0,0.0,95.2975583370155
103_17,0.0,8.11208036868134,2.977921455111982,0.0,0.0,0.3045486756725919,0.0,0.0,88.60543521187999
103_18,0.0,4.098472865841223,0.0,0.0,0.0,17.712770162105137,0.0,0.0,78.1887810452195
103_19,0.0,0.0,0.0,0.0,0.0,1.3974811241440857,0.0,0.0,98.6025214815936
103_20,0.0,0.0,0.07736008117173719,0.0,0.0,6.102112587659449,0.0,0.0,93.82041305150639
103_21,0.0,0.0,25.84534001109845,4.0282804805610395,0.0,51.02696667502838,0.0,0.0,19.099525714153074
103_22,0.0,0.0,49.46134819759763,9.968174198320437,0.0,31.379778270041506,0.0,0.0,9.190416871491722
103_23,0.0,0.0,95.65525369972238,0.0,0.0,0.0,0.0,0.0,4.34474630895462
103_8,0.0,5.134243727412944,85.18211276091097,0.0,0.0,9.683643511676104,0.0,0.0,0.0
103_9,0.0,21.106883643369017,45.03835586211648,6.168734867605224,0.0,19.513986460348853,0.0,0.0,8.17211420470256
104_10,0.0,5.571517420013211,5.170485137082308,11.971457748394167,0.0,0.0,0.0,0.0,77.28657848002827
104_11,0.0,0.0,0.0,5.192230456932394,0.0,0.0,0.0,0.0,94.8077695430676
104_12,0.0,0.0,0.0,0.7670689635897251,0.0,0.0,0.0,0.0,99.23293103641026
