grid_id,Agriculture - mainly crops,Agriculture - mixed use,Business parks,Coniferous and undifferentiated woodland,Deciduous woodland,Farms,Glasshouses,High density residential with retail and commercial sites,Industrial areas,Inland Water,Large complex buildings various use (travel/recreation/ retail),Low density residential with amenities (suburbs and small villages / hamlets),Medium density residential with high streets and amenities,Mining and spoil areas,Open or heath and moor land,Orchards,Principle Transport,Recreational land,Retail parks,Urban centres - mainly commercial/retail with residential pockets,Wetlands
102_13,4.080000001120614,0.0,0.0,0.0,16.68000001742877,0.0,0.0,0.0,0.0,7.76000000224472,0.0,51.71999998841155,5.279999995603925,0.0,0.0,0.0,0.3999999907157617,14.08000000443752,0.0,0.0,0.0
102_14,1.2400000001408626,0.0,0.0,0.0,5.039999987825402,0.0,0.0,0.0,0.0,0.0,0.0,58.39999995595764,14.920000021198065,0.0,0.0,0.0,0.0,20.400000034879774,0.0,0.0,0.0
102_15,2.0399999999967404,0.0,0.0,0.0,1.3200000005709007,0.7200000020358711,0.0,5.240000000272878,0.0,0.47999999999650755,17.600000003571157,14.439999965191353,48.8800000224415,0.0,0.0,0.0,0.0,9.280000005915062,0.0,0.0,0.0
102_16,2.8000000351212218,0.0,0.0,0.0,0.0,0.03999999825516715,0.0,0.0,0.0,0.0,0.0,20.92000001942285,45.199999952479615,0.0,0.0,0.0,6.640000006212736,24.39999998851109,0.0,0.0,0.0
102_17,7.399999955469859,0.0,0.0,0.0,12.879999999662045,0.0,0.0,0.0,0.0,0.0,0.0,20.40000004215073,25.36000000094855,0.0,0.0,0.0,1.039999993910198,32.92000000786618,0.0,0.0,0.0
102_18,12.400000044172513,0.0,0.0,0.0,3.759999984247843,0.0,0.0,9.519999999230844,14.680000003015156,0.0,0.0,28.599999928656498,18.92000006636628,0.0,0.0,0.0,0.0,12.119999974306324,0.0,0.0,0.0
102_19,20.35999996055523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.240000037520776,9.120000001471373,41.399999969280785,0.0,0.0,0.0,0.0,8.880000031162519,0.0,0.0,0.0
102_20,0.599999999521533,0.0,0.0,0.0,0.0,0.0,0.0,27.96000010209379,0.0,0.0,13.079999950523606,13.840000007309254,32.159999954722586,0.0,0.0,0.0,0.0,12.359999985854374,0.0,0.0,0.0
102_21,10.719999997322912,0.0,0.0,0.0,4.4000000145698435,1.9999999998123383,0.0,37.15999995805428,9.56000003460492,0.0,0.0,27.479999981845616,6.840000001822364,0.0,0.0,0.0,0.5600000158663606,1.2799999961050925,0.0,0.0,0.0
102_22,48.4000000848372,7.480000001226087,0.0,0.0,14.519999991927296,0.8000000147825339,0.0,10.51999994744698,7.759999976879102,1.7999999999745049,0.0,0.27999999763513916,0.0,0.0,0.0,0.0,8.439999985263334,0.0,0.0,0.0,0.0
102_23,79.0000000026559,0.0,0.0,0.0,3.359999998400148,3.0399999857571673,0.0,0.0,0.0,0.0,0.0,14.600000013190629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_7,69.3199999679703,0.0,0.0,0.0,18.320000019273603,3.920000000000931,0.0,0.0,0.0,0.8799999997548293,0.0,6.319999999368331,0.0,0.0,0.0,1.2400000136046438,0.0,0.0,0.0,0.0,0.0
102_8,17.279999969461233,0.0,0.0,0.0,59.63999998033419,0.0,0.0,0.0,0.07999999969312921,0.0,0.0,2.6000000140828776,9.400000052268616,0.0,0.0,3.559999984220951,7.439999999780557,0.0,0.0,0.0,0.0
