grid_id,Arable land,"Artificial, non-agricultural vegetated areas",Forests,Heterogeneous agricultural areas,"Industrial, commercial and transport units",Inland waters,"Mine, dump and construction sites",Pastures,Scrub and/or herbaceous vegetation associations,Urban fabric
10_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10_29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10_30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10_31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10_32,0.0,37.21511815719984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.784881842800154
10_33,0.0,25.34750830634881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.65249169365119
10_34,0.0,25.737046518133372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.26295348186663
10_35,0.0,95.9956987580459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.004301241954095
10_36,0.0,21.990315289323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.009684710677
10_37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10_39,0.0,4.48812758683331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.51187241316669
10_40,0.0,83.09163318070128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.908366819298713
10_41,0.0,85.26927839804958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.730721601950425
10_42,0.0,0.21980015624240437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.78019984375759
10_43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10_44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10_45,24.87495870045446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.12504129954553
10_46,71.64760862463957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.352391375360437
10_47,82.1312046650999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8687953349001
10_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10_49,0.0,0.0,0.0,0.0,2.801877074956611,0.0,0.0,0.0,0.0,97.19812292504338
10_50,0.0,0.0,0.0,0.0,53.533617369778064,0.0,0.0,0.0,0.0,46.46638263022194
10_51,0.0,0.0,0.0,0.0,78.09896484329701,0.0,0.0,0.0,0.0,21.90103515670298
10_52,0.0,0.0,0.0,0.0,6.88295210138415,0.0,0.0,0.0,0.0,93.11704789861585
10_53,0.0,0.0,0.0,0.0,14.417228487899036,0.0,0.0,0.0,0.0,85.58277151210098
10_54,0.0,0.0,0.0,0.0,62.49991622637112,0.0,0.0,0.0,0.0,37.50008377362888
10_55,0.0,0.0,0.0,0.0,53.45410855508768,0.0,0.0,0.0,0.0,46.54589144491232
10_56,0.0,0.0,0.0,0.0,47.20934245480103,0.0,0.0,0.0,0.0,52.79065754519898
10_57,0.0,1.580349724640507,0.0,0.0,35.412935014785695,0.0,0.0,0.0,0.0,63.0067152605738
10_58,0.0,12.314908244860264,0.0,0.0,39.12610566043274,0.0,0.0,0.0,0.0,48.558986094706995
10_59,0.0,0.0,0.0,0.0,44.229670453342806,0.0,0.0,0.0,0.0,55.77032954665718
10_60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10_61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10_62,0.0,4.004728115771021,0.0,0.0,7.488565706821773,0.0,0.0,0.0,0.0,88.5067061774072
10_63,0.0,0.0,0.0,0.0,95.86510325573565,0.0,0.0,0.0,0.0,4.134896744264349
10_64,3.731195450549733,0.0,0.0,0.0,96.26880454945027,0.0,0.0,0.0,0.0,0.0
11_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
11_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.583169680082364,0.0,45.416830319917636
11_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11_22,0.0,18.8191274642079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.18087253579209
11_23,0.0,21.29777374537281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.70222625462719
11_24,0.0,0.0,0.0,0.0,22.8438535769312,0.0,0.0,0.0,0.0,77.1561464230688
11_25,0.0,0.0,0.0,0.0,56.27410886374443,0.0,0.0,0.0,0.0,43.72589113625557
11_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11_29,0.0,0.0,0.0,0.0,18.434187516911287,0.0,0.0,0.0,0.0,81.56581248308872
11_30,0.0,0.0,0.0,0.0,23.981944644658032,0.0,0.0,0.0,0.0,76.01805535534197
11_31,0.0,0.0,0.0,0.0,5.45041148521941,0.0,0.0,0.0,0.0,94.54958851478058
11_32,0.0,26.9922373246735,0.0,0.0,47.91706875404871,0.0,0.0,0.0,0.0,25.090693921277797
11_33,0.0,65.77557654952248,0.0,0.0,0.3894805014061346,0.0,0.0,0.0,0.0,33.83494294907139
11_34,0.0,6.824469517107962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.17553048289204
11_35,0.0,82.2772362320048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.722763767995207
11_36,0.0,81.12342590658167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.87657409341833
11_37,0.0,2.217262921186246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.78273707881375
11_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11_39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11_40,0.0,16.92227121977489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0777287802251
11_41,0.0,47.74148545104282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.25851454895718
11_42,0.0,5.749410077889988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.25058992211002
11_43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11_44,0.0,0.10773057001208443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8922694299879
11_45,0.0,35.83893663725721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.1610633627428
11_46,12.017471378573122,35.402323112307194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.58020550911969
11_47,75.04196688024226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.958033119757747
11_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11_49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11_50,0.0,0.0,0.0,0.0,3.0285688268388684,0.0,0.0,0.0,0.0,96.97143117316114
11_51,0.0,0.0,0.0,0.0,39.04784386144812,0.0,0.0,0.0,0.0,60.952156138551864
11_52,0.0,0.0,0.0,0.0,4.6024373798332725,0.0,0.0,0.0,0.0,95.39756262016671
11_53,0.0,0.0,0.0,0.0,7.504444492307269,0.0,0.0,0.0,0.0,92.49555550769273
11_54,0.0,0.0,0.0,0.0,98.16263398360184,0.0,0.0,0.0,0.0,1.8373660163981702
11_55,0.0,0.0,0.0,0.0,62.320153809766346,0.0,0.0,0.0,0.0,37.679846190233654
11_56,0.0,0.0,0.0,0.0,48.48638041396182,0.0,0.0,0.0,0.0,51.51361958603818
11_57,0.0,0.0,0.0,0.0,65.19515448300896,0.0,0.0,0.0,0.0,34.80484551699104
11_58,0.0,0.0,0.0,0.0,69.54201059456231,0.0,0.0,0.0,0.0,30.45798940543769
11_59,0.0,0.0,0.0,0.0,49.81499091096895,0.0,0.0,0.0,0.0,50.185009089031055
11_60,0.0,0.0,0.0,0.0,1.5001715924316115,0.0,0.0,0.0,0.0,98.4998284075684
11_61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11_62,0.0,0.0,0.0,0.0,4.626370280962855,0.0,0.0,0.0,0.0,95.37362971903714
11_63,0.0,0.0,0.0,0.0,29.147145181285033,0.0,0.0,0.0,0.0,70.85285481871497
11_64,18.990782671353475,0.0,0.0,0.0,27.439559036459666,0.0,0.0,0.0,0.0,53.56965829218685
11_65,46.040995636282936,0.0,0.0,0.0,21.15163798936518,0.0,0.0,32.807366374351886,0.0,0.0
12_19,26.1107688439061,0.0,0.0,0.0,0.0,0.0,0.0,73.8892311560939,0.0,0.0
12_20,50.80666633769272,0.0,0.0,0.0,0.0,0.0,0.0,35.92348864986132,0.0,13.269845012445971
12_21,1.1134143945290367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.88658560547097
12_22,0.0,55.02525452303551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.9747454769645
12_23,0.0,80.89473226882805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.10526773117196
12_24,0.0,1.3511454087739763,0.0,0.0,12.32390975373931,0.0,0.0,0.0,0.0,86.32494483748671
12_25,0.0,0.0,0.0,0.0,73.69970186449306,0.0,0.0,0.0,0.0,26.300298135506946
12_26,0.0,0.0,0.0,0.0,2.252530755489272,0.0,0.0,0.0,0.0,97.74746924451073
12_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12_28,0.0,0.0,0.0,0.0,1.2367215395632922,0.0,0.0,0.0,0.0,98.76327846043671
12_29,0.0,0.0,0.0,0.0,65.91480489683312,0.0,0.0,0.0,0.0,34.085195103166896
12_30,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
