grid_id,below_14,above_65
10_64,14.140382294132799,20.774362822908955
11_20,67.3944400148893,86.07671396174545
11_21,118.44807957137623,334.8027251936326
11_22,84.20557868654043,248.96164453535107
11_23,152.22529064251947,229.57920312879818
11_24,143.93480385171642,158.340470891796
11_25,60.943838950603556,84.29732281130599
11_26,168.53526647909038,299.73682833380906
11_27,161.907651753811,245.47120898616905
11_28,140.38509475606125,231.1920543976517
11_29,317.5879726222349,159.7468915298776
11_30,223.1134731980745,164.62746016269415
11_31,199.21639077855244,254.68698721291727
11_32,128.12559657219094,47.10642964311368
11_33,191.3296205608052,104.35071658376563
11_34,148.00089698254274,96.99914396148475
11_35,76.9116124703686,61.5686129544101
11_36,76.09132969541872,83.47931459036947
11_37,214.83875361547152,218.19728535556732
11_38,199.45475900757793,253.25473271168022
11_39,257.73664248558225,180.40706559153674
11_40,123.49219676869599,188.6422250762153
11_41,60.861017102129416,164.03295425049578
11_42,43.037379813346384,157.46022694459015
11_43,136.98412398045068,202.2368642297295
11_44,162.68718164295123,221.14383541068125
11_45,53.73076646884064,106.65879601563769
11_46,59.59935500703367,152.8480820665806
11_47,51.41151703914112,102.31945554840144
11_48,236.0462058368862,256.66569861962756
11_49,471.59899176762895,281.34873073646133
11_50,594.5869748117465,223.52402318398566
11_51,337.2307433648992,164.68189362659757
11_52,149.50657265324796,42.55034190251246
11_53,54.835026002282625,16.65075315070747
11_54,59.032185433023955,18.08504069177147
11_55,85.70916261762227,35.97580956370209
11_56,116.91954303936791,35.36735047327525
11_57,220.42223918459987,45.874671800679494
11_58,322.3276638131829,66.66202407414359
11_59,314.4223230117824,100.35499080157307
11_60,250.97759680182205,194.0440862155544
11_61,172.4497349268219,178.5833528563392
11_62,157.24455287497955,256.42290918361135
11_63,130.1749170824295,211.5784051108891
11_64,29.249851670701688,41.339902360917186
12_19,5.6115278365782535,11.136531541709575
12_20,84.4556603482236,73.2422717091559
12_21,302.5335873381149,283.8470812189666
12_22,78.91559019434905,144.50702774584053
12_23,111.11015389876337,134.18473403602502
12_24,377.44700200199236,174.904767747567
12_25,109.35246436227908,52.8537517900533
12_26,125.47758432298494,163.68542697406278
12_27,172.15279477914913,291.89709219941574
12_28,182.42108940031406,189.2813551640823
12_29,51.542315955393306,44.73445557074444
12_30,44.77980545768745,26.289756413432464
12_31,24.394304151190187,13.296712488639308
12_32,101.95225130409872,134.16416714915678
12_33,98.32170172222666,53.487339322918466
12_34,99.31599321820424,53.9069934700596
12_35,197.14967059143015,176.3249972344325
12_36,209.3292156336888,165.3469952845027
12_37,157.7514297419313,136.83246645155896
12_38,277.8091773027062,192.4982399201763
12_39,184.07554884609888,159.84557663441063
12_40,237.41458765347696,245.50177933086778
12_41,342.3695269035496,222.5858779037219
12_42,207.57217724865768,220.86029082541177
12_43,134.95271681428005,175.03238884659885
12_44,231.47104632711205,225.74724444154558
12_45,114.72101910431836,233.19939826012683
12_46,156.82108104993165,291.86651163307755
12_47,286.07935428484393,205.94988835770582
12_48,227.80553408295046,131.61366017695013
12_49,455.9229091374574,164.123593369834
12_50,357.53612728165996,150.75349836255958
12_51,358.74793874862735,128.632302383522
12_52,162.56137646932066,46.419142905992366
12_53,149.1562414652342,21.550876717495846
12_54,271.46587888634895,136.54209503383493
12_55,489.9932649269889,123.62868267425416
12_56,202.24218091351307,54.475262550629594
12_57,573.6602915824697,162.6810529641649
12_58,469.6607979157239,185.83581660658112
12_59,486.6191488446603,140.51264359323943
12_60,224.75080834872657,198.1900254835798
12_61,165.654206831972,175.4831473588136
12_62,226.7665156950029,228.53323760969562
12_63,143.00990315195685,280.234091975136
12_64,48.691473975333345,67.35180620921477
12_65,5.306061926628558,16.08033748680164
13_20,7.21874879541657,9.877829935959422
13_21,124.17217741840247,128.50867447929085
13_22,198.9024857303245,177.83570100441983
13_23,258.99252527120757,201.8769560470659
13_24,395.5801273807274,162.8375474234879
13_25,111.74746302595804,51.81457607423068
13_26,127.23864364949947,133.45392579059646
13_27,235.46875704401518,195.15846794194886
13_28,193.02330258298537,157.13257851161768
13_29,82.78839653707692,99.40119103065909
13_30,36.66753763854717,12.78096713832785
13_31,32.334744935553175,12.267202087484645
13_32,123.62945832718566,50.4674751543638
13_33,234.6151646233003,96.16314666650828
13_34,228.53342610691072,247.69154894321244
13_35,236.59348138287197,291.1594275667328
13_36,178.19050635739995,221.66284107212158
13_37,192.64341285818944,151.19314609261184
13_38,152.78060635179952,143.8544083171782
13_39,266.71319699577094,175.68267239348842
13_40,276.41614101953735,178.29319973045094
13_41,110.32584918245357,131.92614676433925
13_42,65.54480931272829,98.04239158764526
13_43,77.4533246610633,71.43103024736425
13_44,204.38126382239054,170.29091699165917
13_45,273.45467884009025,279.0876515621982
13_46,255.918137587285,269.0385698525382
13_47,263.5709983928769,167.57195645013982
13_48,259.48647668316835,120.3642957775744
13_49,342.8700840462033,166.58623101570325
13_50,187.7166443067524,112.8882274238167
13_51,55.3841179493013,35.7646000073581
13_52,88.33210720005641,29.67015137214866
13_53,175.35135934420396,37.86687295081986
13_54,539.0301276169216,145.1945407909488
13_55,422.6486272783737,136.11543088907771
