OA11CD,LSOA11CD
E00046878,E01009243
E00045461,E01008964
E00047111,E01033634
E00047190,E01009309
E00047743,E01009428
E00046509,E01009157
E00047423,E01009352
E00047823,E01009434
E00045218,E01008915
E00045299,E01008924
E00047637,E01009413
E00047284,E01009316
E00047434,E01033635
E00175662,E01009264
E00175740,E01009262
E00047874,E01009447
E00047985,E01009476
E00047904,E01009470
E00046611,E01033644
E00046070,E01009094
E00046412,E01033623
E00046892,E01009246
E00046493,E01009173
E00045287,E01008917
E00046813,E01009224
E00046238,E01009119
E00047542,E01009394
E00046823,E01009226
E00047706,E01009416
E00047787,E01009449
E00045163,E01008893
E00046494,E01009173
E00045768,E01009021
E00048195,E01009510
E00048114,E01009505
E00046852,E01009237
E00045981,E01009069
E00046264,E01009121
E00045498,E01008968
E00047194,E01009308
E00046833,E01009236
E00045847,E01009044
E00046887,E01009243
E00046806,E01009223
E00175777,E01009262
E00046671,E01009203
E00175795,E01009514
E00047377,E01033635
E00046831,E01009244
E00045622,E01008992
E00047088,E01009280
E00047009,E01009267
E00048176,E01009518
E00045132,E01008886
E00048068,E01009495
E00045674,E01009008
E00047641,E01009414
E00047265,E01009312
E00045484,E01008955
E00175759,E01009362
E00175681,E01033620
E00046361,E01009145
E00046837,E01009236
E00175774,E01009080
E00047989,E01009480
E00045147,E01008887
E00047908,E01009468
E00047568,E01009384
E00175732,E01009159
E00047431,E01009359
E00048059,E01009498
E00045533,E01008970
E00045410,E01008941
E00045715,E01009001
E00045794,E01009028
E00045491,E01008953
E00046775,E01009231
E00046295,E01009124
E00046214,E01009114
E00046520,E01009155
E00045826,E01009039
E00046979,E01009262
E00046826,E01009230
E00047035,E01009265
E00045848,E01009043
E00045530,E01008968
E00045149,E01008885
E00046056,E01009081
E00175757,E01009362
E00045258,E01008917
E00046195,E01009115
E00175779,E01033622
E00046114,E01009086
E00047745,E01009427
E00046836,E01009243
E00046423,E01009153
E00046043,E01009065
E00046690,E01009208
E00045524,E01008981
E00046217,E01009113
E00047844,E01009442
E00046871,E01009242
E00048051,E01009475
E00175657,E01033620
E00048045,E01009477
E00047942,E01009459
E00045865,E01009032
E00045875,E01009033
E00047959,E01009462
E00047360,E01009331
E00047430,E01009354
E00047755,E01009432
E00048001,E01009478
E00048080,E01009497
E00047214,E01009306
E00047295,E01009329
E00045125,E01008884
E00047121,E01009286
E00047857,E01009441
E00047739,E01009427
E00046713,E01009215
E00046577,E01009185
E00175615,E01033562
E00047770,E01009415
E00046792,E01009220
